Chamidi1,NipunaM6,IsuruAp6,Sandali11,UoM_Wireless11,UNIC-wifi11,id
-72,-63,-54,-60,-89,-87,0
-70,-63,-53,-59,-89,-89,0
-100,-56,-53,-100,-91,-84,2
-77,-62,-53,-64,-89,-85,0
-78,-56,-54,-100,-91,-88,2
-73,-57,-53,-100,-91,-89,2
-71,-63,-53,-59,-89,-88,0
-71,-63,-54,-58,-89,-87,0
-77,-55,-60,-62,-93,-87,1
-78,-52,-59,-60,-90,-87,1
-84,-62,-57,-61,-91,-87,1
-78,-62,-56,-66,-91,-87,1
-75,-63,-53,-60,-86,-87,0
-74,-54,-59,-100,-94,-88,2
-81,-56,-52,-100,-91,-87,2
-74,-64,-51,-64,-89,-87,0
-75,-63,-56,-64,-91,-87,1
-75,-64,-56,-62,-92,-88,0
-74,-62,-53,-64,-89,-85,0
-78,-53,-60,-62,-90,-87,1
-80,-54,-59,-64,-90,-87,1
-77,-58,-59,-100,-90,-89,2
-73,-63,-53,-58,-89,-83,0
-69,-57,-57,-100,-90,-87,2
-78,-62,-58,-63,-92,-87,1
-79,-54,-64,-62,-91,-87,1
-72,-46,-53,-100,-88,-88,2
-71,-63,-52,-60,-89,-91,0
-77,-63,-55,-61,-92,-86,0
-81,-62,-57,-62,-86,-87,1
-76,-58,-51,-100,-88,-83,2
-74,-61,-55,-64,-89,-85,0
-77,-64,-54,-62,-90,-87,1
-75,-63,-56,-72,-90,-87,1
-71,-62,-54,-61,-90,-87,1
-75,-64,-55,-63,-92,-89,0
-70,-63,-51,-58,-89,-87,0
-73,-56,-54,-100,-91,-88,2
-82,-62,-57,-63,-90,-87,1
-76,-61,-57,-61,-90,-87,1
-79,-54,-58,-61,-89,-87,1
-71,-69,-57,-59,-90,-88,2
-85,-71,-54,-59,-93,-88,2
-77,-58,-61,-62,-92,-87,1
