UoM_Wireless1,UoM_Wireless6,Chamidi11,FGS_Office1,NipunaM6,Becon_Wireless1,Sandali1,UoM_Wireless11,eduroam1,eduroam6,IsuruAp6,eduroam11,Jungle Book10,PROLINK_H5004NK_8766E11,UNIC-wifi11,id
-88,-100,-100,-100,-66,-100,-100,-100,-100,-100,,-100,-100,-100,-100,2
-90,-100,-73,-100,-63,-100,-100,-100,-100,-100,,-100,-100,-100,-100,2
-88,-100,-100,-100,-64,-100,-100,-100,-100,-100,,-100,-100,-100,-100,2
-93,-100,-72,-100,-71,-100,-100,-100,-100,-100,,-100,-100,-100,-89,2
-91,-100,-72,-100,-64,-100,-100,-100,-100,-100,,-100,-100,-100,-100,2
-91,-100,-73,-100,-72,-100,-100,-100,-100,-100,,-100,-100,-100,-91,2
-94,-100,-66,-100,-64,-100,-100,-100,-94,-100,,-100,-100,-100,-100,2
-100,-100,-100,-100,-64,-100,-100,-100,-95,-100,,-100,-100,-100,-100,2
-90,-100,-100,-100,-63,-100,-100,-100,-100,-100,,-100,-100,-100,-87,2
-90,-100,-68,-100,-64,-100,-100,-100,-89,-100,,-100,-100,-100,-88,2
-87,-100,-72,-100,-65,-100,-100,-100,-100,-100,,-100,-100,-100,-86,2
-100,-100,-100,-100,-64,-100,-100,-100,-100,-100,,-100,-100,-100,-89,2
-92,-100,-72,-90,-66,-100,-100,-100,-100,-100,,-100,-100,-100,-100,2
-90,-100,-100,-100,-62,-100,-100,-100,-100,-100,,-100,-100,-100,-86,2
-100,-100,-78,-89,-67,-100,-100,-100,-100,-100,,-100,-100,-100,-100,2
-88,-100,-70,-100,-64,-100,-100,-100,-100,-100,,-100,-100,-100,-100,2
-100,-100,-72,-100,-63,-100,-100,-100,-100,-100,,-100,-100,-100,-100,2
-90,-100,-69,-100,-63,-100,-100,-100,-100,-100,,-100,-100,-100,-83,2
-100,-100,-100,-100,-62,-100,-100,-100,-100,-100,,-100,-100,-100,-89,2
-90,-100,-71,-100,-69,-100,-100,-100,-100,-100,,-100,-100,-100,-100,2
-100,-100,-100,-100,-65,-100,-100,-100,-100,-100,,-100,-100,-100,-88,2
-89,-100,-71,-100,-70,-100,-100,-100,-89,-100,,-100,-100,-100,-83,2
-100,-100,-79,-100,-67,-100,-100,-100,-100,-100,,-100,-100,-100,-100,2
-89,-100,-70,-100,-64,-86,-100,-100,-82,-100,,-100,-100,-100,-100,2
-90,-100,-74,-100,-66,-90,-100,-100,-91,-100,,-100,-100,-100,-100,2
-86,-100,-73,-87,-63,-86,-100,-100,-85,-100,,-100,-100,-100,-100,2
-89,-100,-73,-92,-64,-100,-100,-100,-100,-100,,-100,-100,-100,-100,2
-100,-100,-100,-100,-63,-100,-100,-100,-100,-100,,-100,-100,-100,-100,2
-87,-100,-69,-86,-63,-86,-100,-100,-84,-100,,-100,-100,-100,-100,2
-100,-100,-100,-100,-65,-100,-100,-100,-100,-100,,-100,-100,-100,-100,2
-91,-100,-71,-100,-65,-100,-100,-100,-100,-100,,-100,-100,-100,-100,2
-100,-100,-100,-89,-66,-100,-100,-100,-87,-100,,-100,-100,-100,-100,2
-100,-100,-69,-100,-65,-100,-100,-100,-100,-100,,-100,-100,-100,-100,2
-100,-100,-71,-100,-67,-100,-100,-100,-100,-100,,-100,-100,-100,-100,2
-100,-100,-65,-100,-61,-100,-100,-100,-100,-100,,-100,-100,-100,-100,2
