,Becon_Wireless11,Chamidi1,FGS_Office11,IsuruAp6,NipunaM6,Pied Piper8,Sandali11,UNIC-wifi11,UoM_Wireless11,eduroam1,eduroam11,eduroam6
180,-91,-86,-90,-60,-55,-100,-64,-86,-91,-91,-89,-100
181,-89,-77,-91,-60,-55,-100,-62,-86,-93,-91,-89,-100
182,-91,-76,-89,-60,-54,-100,-63,-86,-91,-91,-89,-100
183,-91,-100,-90,-58,-54,-100,-62,-89,-91,-91,-89,-100
184,-91,-81,-93,-62,-54,-100,-63,-86,-93,-91,-94,-100
185,-91,-77,-90,-61,-54,-100,-65,-86,-91,-93,-89,-100
186,-89,-84,-89,-59,-50,-100,-63,-86,-89,-91,-90,-100
187,-91,-80,-90,-59,-54,-100,-64,-86,-91,-91,-89,-100
188,-91,-80,-90,-58,-54,-100,-61,-87,-88,-91,-89,-100
189,-91,-78,-90,-60,-53,-100,-62,-87,-91,-91,-89,-100
190,-88,-77,-90,-54,-54,-100,-62,-86,-91,-91,-89,-100
191,-91,-84,-90,-56,-54,-100,-62,-86,-91,-91,-89,-100
192,-88,-78,-90,-60,-54,-100,-63,-86,-91,-91,-89,-100
193,-91,-83,-90,-61,-57,-100,-63,-86,-91,-91,-92,-100
194,-91,-83,-90,-58,-52,-100,-61,-89,-91,-91,-89,-100
195,-91,-80,-90,-59,-54,-100,-64,-86,-91,-91,-89,-100
196,-91,-79,-90,-60,-57,-100,-64,-89,-95,-91,-94,-100
197,-91,-75,-90,-59,-53,-100,-62,-86,-89,-91,-89,-100
198,-91,-72,-90,-60,-64,-100,-61,-86,-89,-92,-89,-100
199,-88,-80,-90,-61,-52,-100,-58,-86,-91,-91,-87,-100
200,-89,-79,-91,-58,-54,-100,-61,-86,-89,-91,-93,-100
201,-91,-81,-90,-55,-52,-100,-60,-83,-91,-94,-89,-100
202,-91,-75,-90,-60,-52,-100,-62,-84,-91,-91,-89,-100
203,-89,-80,-90,-59,-51,-100,-61,-86,-89,-91,-89,-100
